,quality
0,5
1,5
2,5
3,6
4,5
5,5
6,5
7,7
8,7
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,7
17,5
18,4
19,6
20,6
21,5
22,5
23,5
24,6
25,5
26,5
27,5
28,5
29,6
30,5
31,6
32,5
33,6
34,5
35,6
36,6
37,7
38,4
39,5
40,5
41,4
42,6
43,5
44,5
45,4
46,5
47,5
48,5
49,5
50,5
51,6
52,6
53,5
54,6
55,5
56,5
57,5
58,5
59,6
60,5
61,5
62,7
63,5
64,5
65,5
66,5
67,5
68,5
69,6
70,6
71,5
72,5
73,4
74,5
75,5
76,5
77,6
78,5
79,4
80,5
81,5
82,5
83,5
84,6
85,5
86,6
87,5
88,5
89,5
90,5
91,6
92,5
93,5
94,4
95,6
96,5
97,5
98,5
99,6
100,6
101,6
102,6
103,5
104,5
105,5
106,5
107,5
108,6
109,5
110,5
111,5
112,5
113,6
114,5
115,6
116,6
117,6
118,6
119,6
120,5
121,6
122,5
123,5
124,5
125,5
126,5
127,5
128,7
129,5
130,5
131,5
132,5
133,6
134,6
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,6
143,5
144,6
145,5
146,5
147,5
148,6
149,6
150,6
151,4
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,6
160,5
161,4
162,6
163,5
164,5
165,5
166,5
167,4
168,6
169,5
170,4
171,6
172,6
173,6
174,5
175,5
176,5
177,6
178,5
179,5
180,5
181,5
182,5
183,5
184,6
185,5
186,5
187,5
188,5
189,5
190,5
191,6
192,5
193,5
194,5
195,5
196,5
197,6
198,7
199,4
200,7
201,5
202,5
203,5
204,6
205,7
206,7
207,5
208,5
209,7
210,6
211,6
212,6
213,5
214,6
215,5
216,5
217,5
218,5
219,5
220,6
221,5
222,5
223,6
224,4
225,6
226,6
227,5
228,6
229,5
230,7
231,6
232,6
233,5
234,6
235,6
236,6
237,6
238,6
239,6
240,5
241,6
242,6
243,7
244,7
245,6
246,5
247,5
248,6
249,6
250,6
251,6
252,5
253,5
254,6
255,5
256,5
257,5
258,5
259,7
260,5
261,4
262,5
263,5
264,5
265,7
266,4
267,8
268,6
269,6
270,6
271,6
272,5
273,5
274,5
275,6
276,6
277,6
278,8
279,7
280,6
281,7
282,5
283,7
284,5
285,5
286,6
287,6
288,7
289,5
290,7
291,5
292,6
293,6
294,6
295,5
296,5
297,5
298,5
299,5
300,6
301,6
302,5
303,5
304,5
305,6
306,5
307,6
308,6
309,6
310,6
311,6
312,6
313,5
314,5
315,6
316,5
317,6
318,7
319,6
320,7
321,5
322,5
323,6
324,6
325,6
326,7
327,5
328,6
329,5
330,6
331,6
332,6
333,5
334,7
335,7
336,6
337,5
338,6
339,7
340,6
341,6
342,6
343,6
344,6
345,5
346,7
347,6
348,6
349,6
350,6
351,6
352,5
353,5
354,6
355,6
356,5
357,7
358,7
359,6
360,5
361,6
362,5
363,5
364,7
365,6
366,7
367,5
368,5
369,7
370,5
371,6
372,6
373,5
374,6
375,7
376,6
377,7
378,6
379,6
380,6
381,6
382,6
383,6
384,5
385,6
386,6
387,6
388,6
389,7
390,8
391,6
392,5
393,5
394,5
395,7
396,5
397,6
398,6
399,5
400,5
401,6
402,6
403,6
404,5
405,6
406,6
407,7
408,6
409,4
410,6
411,5
412,5
413,7
414,5
415,5
416,6
417,5
418,6
419,5
420,7
421,7
422,5
423,7
424,5
425,7
426,6
427,6
428,5
429,6
430,7
431,5
432,6
433,5
434,6
435,5
436,6
437,6
438,6
439,5
440,8
441,6
442,7
443,7
444,7
445,6
446,5
447,5
448,6
449,6
450,6
451,6
452,6
453,7
454,5
455,8
456,5
457,5
458,7
459,3
460,6
461,5
462,5
463,5
464,6
465,5
466,6
467,6
468,6
469,5
470,5
471,6
472,6
473,5
474,6
475,5
476,5
477,6
478,5
479,6
480,5
481,8
482,5
483,5
484,6
485,5
486,5
487,6
488,7
489,6
490,6
491,7
492,7
493,6
494,6
495,8
496,6
497,5
498,8
499,6
500,6
501,7
502,7
503,7
504,7
505,7
506,7
507,6
508,6
509,7
510,5
511,6
512,6
513,7
514,7
515,5
516,6
517,3
518,6
519,5
520,6
521,5
522,5
523,5
524,5
525,5
526,5
527,6
528,6
529,5
530,6
531,5
532,5
533,6
534,6
535,6
536,5
537,6
538,7
539,5
540,5
541,6
542,5
543,6
544,6
545,5
546,6
547,6
548,6
549,6
550,6
551,6
552,6
553,5
554,5
555,5
556,6
557,5
558,6
559,6
560,5
561,5
562,5
563,6
564,6
565,5
